Id,Label
1,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia
2,Greek and Roman Mythology
3,Biohazard | Resident Evil (Gameverse)
4,Resident Evil
5,Resident Evil The Village
6,Lore Olympus (Webcomic)
7,Shingeki no Kyojin | Attack on Titan
8,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime)
9,鬼滅の刃 | Kimetsu no Yaiba (Manga)
10,Percy Jackson and the Olympians - Rick Riordan
11,Teen Wolf (TV)
12,teen wolf - Fandom
13,The Mummy
14,The Mummy Returns (2001)
15,Marvel Cinematic Universe
16,魔入りました! 入間くん | Mairimashita! Iruma-kun | Welcome to Demon School! Iruma-kun (Manga)
17,백작가의 망나니가 되었다 - 유려한 | Trash of the Count's Family - Yulyeohan
18,Yu-Gi-Oh! Zexal
19,Yugioh
20,Yu-Gi-Oh! Duel Monsters (Anime &amp; Manga)
21,전지적 독자 시점 - 싱숑 | Omniscient Reader - Sing-Shong
22,呪術廻戦 | Jujutsu Kaisen (Manga)
23,呪術廻戦 | Jujutsu Kaisen (Anime)
24,Formula 1 RPF
25,Winx Club
26,Shameless (US)
27,地縛少年花子くん | Jibaku Shounen Hanako-kun | Toilet-bound Hanako-kun (Manga)
28,地縛少年花子くん | Jibaku Shounen Hanako-kun | Toilet-bound Hanako-kun (Anime)
29,Harry Potter - J. K. Rowling
30,Star Wars Sequel Trilogy
31,Star Wars - All Media Types
32,Marvel
33,The Avengers (Marvel) - All Media Types
34,Pocket Monsters | Pokemon (Anime)
35,One Piece
36,Naruto
37,Katekyou Hitman Reborn!
38,Pocket Monsters | Pokemon - All Media Types
39,Dragon Ball
40,Supernatural
41,Video Blogging RPF
42,文豪ストレイドッグス | Bungou Stray Dogs
43,방탄소년단 | Bangtan Boys | BTS
44,Spider-Man (Tom Holland Movies)
45,Spider-Man - All Media Types
46,Haikyuu!!
47,原神 | Genshin Impact (Video Game)
48,終わりのセラフ | Owari no Seraph | Seraph of the End
49,Dream SMP - Fandom
50,Minecraft (Video Game)
51,X-Men: First Class (2011) - Fandom
52,X-Men: Days of Future Past (2014) - Fandom
53,Star Wars Prequel Trilogy
54,Star Wars Original Trilogy
55,Sherlock (TV)
56,Sherlock Holmes &amp; Related Fandoms
57,Avatar: The Last Airbender
58,Agents of S.H.I.E.L.D. (TV)
59,Black Widow (Movie 2021)
60,The Avengers (Marvel Movies)
61,Dream SMP -Fandom
62,Origins SMP - Fandom
63,Captain America (Movies)
64,Captain America - All Media Types
65,Fire Emblem: Fuukasetsugetsu | Fire Emblem: Three Houses
66,Fire Emblem Series
