Source,Target,Type
1,1,Undirected
1,2,Undirected
1,3,Undirected
1,4,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,5,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,3,Undirected
1,6,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,7,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,8,Undirected
1,9,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,10,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,11,Undirected
1,12,Undirected
1,13,Undirected
1,14,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,15,Undirected
1,1,Undirected
1,16,Undirected
1,17,Undirected
1,1,Undirected
1,18,Undirected
1,19,Undirected
1,20,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,21,Undirected
1,21,Undirected
1,21,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,22,Undirected
1,23,Undirected
1,22,Undirected
1,23,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,24,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,1,Undirected
1,25,Undirected
1,25,Undirected
1,26,Undirected
1,26,Undirected
1,26,Undirected
1,26,Undirected
1,26,Undirected
