Source,Target,Type
152,1,Undirected
152,2,Undirected
152,3,Undirected
152,4,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,5,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,3,Undirected
152,6,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,7,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,8,Undirected
152,9,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,10,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,11,Undirected
152,12,Undirected
152,13,Undirected
152,14,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,15,Undirected
152,1,Undirected
152,16,Undirected
152,17,Undirected
152,1,Undirected
152,18,Undirected
152,19,Undirected
152,20,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,21,Undirected
152,21,Undirected
152,21,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,22,Undirected
152,23,Undirected
152,22,Undirected
152,23,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,24,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,25,Undirected
152,25,Undirected
152,26,Undirected
152,26,Undirected
152,26,Undirected
152,26,Undirected
152,26,Undirected
152,26,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,27,Undirected
152,28,Undirected
152,29,Undirected
152,30,Undirected
152,31,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,32,Undirected
152,33,Undirected
152,34,Undirected
152,1,Undirected
152,35,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,36,Undirected
152,1,Undirected
152,37,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,38,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,39,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,40,Undirected
152,40,Undirected
152,41,Undirected
152,40,Undirected
152,40,Undirected
152,40,Undirected
152,41,Undirected
152,1,Undirected
152,40,Undirected
152,40,Undirected
152,40,Undirected
152,40,Undirected
152,1,Undirected
152,1,Undirected
152,41,Undirected
152,41,Undirected
152,41,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,42,Undirected
152,42,Undirected
152,42,Undirected
152,42,Undirected
152,42,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,43,Undirected
152,43,Undirected
152,43,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,44,Undirected
152,45,Undirected
152,15,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,46,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,29,Undirected
152,46,Undirected
152,40,Undirected
152,40,Undirected
152,47,Undirected
152,46,Undirected
152,47,Undirected
152,42,Undirected
152,42,Undirected
152,42,Undirected
152,23,Undirected
152,22,Undirected
152,47,Undirected
152,47,Undirected
152,47,Undirected
152,47,Undirected
152,47,Undirected
152,47,Undirected
152,47,Undirected
152,47,Undirected
152,36,Undirected
152,47,Undirected
152,23,Undirected
152,48,Undirected
152,22,Undirected
152,23,Undirected
152,46,Undirected
152,46,Undirected
152,46,Undirected
152,46,Undirected
152,46,Undirected
152,49,Undirected
152,50,Undirected
152,51,Undirected
152,52,Undirected
152,31,Undirected
152,53,Undirected
152,54,Undirected
152,55,Undirected
152,56,Undirected
152,1,Undirected
152,57,Undirected
152,29,Undirected
152,58,Undirected
152,59,Undirected
152,15,Undirected
152,60,Undirected
152,50,Undirected
152,61,Undirected
152,50,Undirected
152,41,Undirected
152,50,Undirected
152,41,Undirected
152,62,Undirected
152,63,Undirected
152,63,Undirected
152,15,Undirected
152,15,Undirected
152,63,Undirected
152,64,Undirected
152,63,Undirected
152,15,Undirected
152,15,Undirected
152,63,Undirected
152,46,Undirected
152,29,Undirected
152,50,Undirected
152,49,Undirected
152,46,Undirected
152,65,Undirected
152,65,Undirected
152,66,Undirected
152,65,Undirected
152,65,Undirected
152,65,Undirected
152,65,Undirected
152,65,Undirected
152,67,Undirected
152,68,Undirected
152,67,Undirected
152,68,Undirected
152,68,Undirected
152,67,Undirected
152,68,Undirected
152,67,Undirected
152,68,Undirected
152,67,Undirected
152,65,Undirected
152,65,Undirected
152,65,Undirected
152,65,Undirected
152,65,Undirected
152,66,Undirected
152,65,Undirected
152,7,Undirected
152,49,Undirected
152,50,Undirected
152,50,Undirected
152,41,Undirected
152,50,Undirected
152,46,Undirected
152,49,Undirected
152,49,Undirected
152,69,Undirected
152,50,Undirected
152,41,Undirected
152,49,Undirected
152,49,Undirected
152,50,Undirected
152,41,Undirected
152,41,Undirected
152,50,Undirected
152,49,Undirected
152,50,Undirected
152,41,Undirected
152,50,Undirected
152,41,Undirected
152,50,Undirected
152,49,Undirected
152,50,Undirected
152,49,Undirected
152,49,Undirected
152,49,Undirected
152,50,Undirected
152,41,Undirected
152,49,Undirected
152,50,Undirected
152,46,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,1,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,70,Undirected
152,71,Undirected
152,72,Undirected
152,71,Undirected
152,72,Undirected
152,71,Undirected
152,72,Undirected
152,71,Undirected
152,72,Undirected
152,46,Undirected
152,71,Undirected
152,72,Undirected
152,71,Undirected
152,72,Undirected
152,71,Undirected
152,72,Undirected
152,71,Undirected
152,71,Undirected
152,72,Undirected
152,47,Undirected
152,46,Undirected
152,71,Undirected
152,72,Undirected
152,71,Undirected
152,72,Undirected
152,47,Undirected
152,71,Undirected
152,71,Undirected
152,72,Undirected
152,71,Undirected
152,71,Undirected
152,72,Undirected
152,46,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,73,Undirected
152,73,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,7,Undirected
152,7,Undirected
152,7,Undirected
152,7,Undirected
152,46,Undirected
152,74,Undirected
152,46,Undirected
152,75,Undirected
152,76,Undirected
152,77,Undirected
152,78,Undirected
152,79,Undirected
152,1,Undirected
152,7,Undirected
152,1,Undirected
152,1,Undirected
152,1,Undirected
152,46,Undirected
152,74,Undirected
152,72,Undirected
152,71,Undirected
152,80,Undirected
152,46,Undirected
152,50,Undirected
152,41,Undirected
152,46,Undirected
152,22,Undirected
152,23,Undirected
152,22,Undirected
152,22,Undirected
152,23,Undirected
152,22,Undirected
152,81,Undirected
152,22,Undirected
152,23,Undirected
152,22,Undirected
152,23,Undirected
152,22,Undirected
152,23,Undirected
152,22,Undirected
152,23,Undirected
152,22,Undirected
152,22,Undirected
152,22,Undirected
152,22,Undirected
152,22,Undirected
152,23,Undirected
