Id,Label
1,Bakugou Katsuki
2,Midoriya Izuku
3,Todoroki Shouto
4,Kirishima Eijirou
5,Aizawa Shouta | Eraserhead
6,Yamada Hizashi | Present Mic
7,Uraraka Ochako
8,Reader
9,Yaoyorozu Momo
10,Jirou Kyouka
11,Kaminari Denki
12,Shinsou Hitoshi
13,Yagi Toshinori | All Might
14,Asui Tsuyu
15,Minor or Background Relationship(s)
16,Ashido Mina
17,Hinata Shouyou
18,Kageyama Tobio
19,Sawamura Daichi
20,Sugawara Koushi
21,Tsukishima Kei
22,Yamaguchi Tadashi
23,Akaashi Keiji
24,Bokuto Koutarou
25,Iwaizumi Hajime
26,Oikawa Tooru
27,Kozume Kenma
28,Kuroo Tetsurou
29,Azumane Asahi
30,Nishinoya Yuu
31,Miya Atsumu
32,Sakusa Kiyoomi
33,Hanamaki Takahiro
34,Matsukawa Issei
35,Kyoutani Kentarou
36,Yahaba Shigeru
37,Shimizu Kiyoko
38,Yachi Hitoka
39,Uchiha Sasuke
40,Uzumaki Naruto
41,Hyuuga Hinata
42,Haruno Sakura
43,Hatake Kakashi
44,Umino Iruka
45,Nara Shikamaru
46,Temari
47,Gaara
48,Uchiha Obito
49,Maito Gai | Might Guy
50,Yamato | Tenzou
51,Namikaze Minato
52,Uzumaki Kushina
53,Uchiha Itachi
54,Yamanaka Ino
55,Uchiha Shisui
56,Hoshigaki Kisame
57,Hyuuga Neji
58,Tenten
59,Sai
60,Inuzuka Kiba
61,Deidara
62,Nohara Rin
63,Tobi (Naruto)
64,Uchiha Madara
65,Levi Ackerman
66,Eren Yeager
67,Erwin Smith
68,Hange Zoë
69,Marco Bott
70,Jean Kirstein
71,Krista Lenz | Historia Reiss
72,Ymir
73,Mikasa Ackerman
74,Sasha Blouse
75,Connie Springer
76,Armin Arlert
77,Annie Leonhart
78,Reiner Braun
79,Bertolt Hoover
80,Adrien Agreste | Chat Noir
81,Marinette Dupain-Cheng | Ladybug
82,Alya Césaire
83,Nino Lahiffe
84,Luka Couffaine
85,Damian Wayne
86,Juleka Couffaine
87,Rose Lavillant
88,Marc Anciel
89,Nathaniel Kurtzberg
90,Kagami Tsurugi
91,Gabriel Agreste | Papillon | Hawk Moth
92,Nathalie Sancoeur
93,Ivan Bruel
94,Mylène Haprèle
95,Sabine Cheng
96,Tom Dupain
97,Emilie Agreste
98,Plagg
99,Tikki (Miraculous Ladybug)
100,Chloé Bourgeois
101,Draco Malfoy
102,Harry Potter
103,Hermione Granger
104,Ron Weasley
105,Ginny Weasley
106,Severus Snape
107,Sirius Black
108,Remus Lupin
109,Tom Riddle
110,James Potter
111,Lily Evans Potter
112,Tom Riddle | Voldemort
113,Lucius Malfoy
114,Narcissa Black Malfoy
115,Astoria Greengrass
116,Original Female Character(s)
117,Marlene McKinnon
118,Dorcas Meadowes
119,Nymphadora Tonks
120,Luna Lovegood
121,Arthur Weasley
122,Molly Weasley
123,Scorpius Malfoy
124,Albus Severus Potter
125,Regulus Black
126,Albus Dumbledore
127,Gellert Grindelwald
128,Rey
129,Ben Solo | Kylo Ren
130,Kylo Ren
131,Ben Solo
132,Poe Dameron
133,Finn
134,Rey (Star Wars)
135,Leia Organa
136,Han Solo
137,Armitage Hux
138,You
139,Obi-Wan Kenobi
140,Anakin Skywalker
141,Padmé Amidala
142,Qui-Gon Jinn
143,CC-2224 | Cody
144,Satine Kryze
145,Rose Tico
146,Din Djarin
147,Luke Skywalker
148,Sherlock Holmes
149,John Watson
150,Molly Hooper
151,Mycroft Holmes
152,Greg Lestrade
153,Mary Morstan
154,Jim Moriarty
155,Irene Adler
156,Sebastian Moran
157,Lestrade
158,James Moriarty
159,Philip Anderson
160,Sally Donovan
161,Bilbo Baggins
162,Thorin Oakenshield
163,Kíli (Tolkien)
164,Tauriel (Hobbit Movies)
165,Fíli
166,Dwalin
167,Ori (Tolkien)
168,Thranduil
169,Bofur
170,Nori (Tolkien)
171,Fíli (Tolkien)
172,Sigrid (Hobbit Movies)
173,Gimli (Son of Glóin)
174,Legolas Greenleaf
175,Aragorn | Estel
176,Arwen Undómiel
177,Bard the Bowman
178,Thranduil (Tolkien)
179,Thranduil's Wife
180,Frodo Baggins
181,Sam Gamgee
182,Boromir (Son of Denethor II)
183,Éowyn
184,Faramir (Son of Denethor II)
185,Celebrían
186,Elrond Peredhel
187,Erestor
188,Glorfindel (Tolkien)
189,Lindir
190,Female Inquisitor
191,Cullen Rutherford
192,Female Trevelyan
193,Female Lavellan
194,Dorian Pavus
195,Inquisitor
196,Solas (Dragon Age)
197,Trevelyan
198,Lavellan
199,The Iron Bull
200,Fenris
201,Female Hawke (Dragon Age)
202,Male Hawke (Dragon Age)
203,Female Hawke
204,Varric Tethras
205,Anders
206,Cassandra Pentaghast
207,Male Inquisitor
208,Male Lavellan
209,Male Trevelyan
210,The Iron Bull (Dragon Age)
211,Leliana
212,Female Warden (Dragon Age)
213,Alistair
214,Female Cousland (Dragon Age)
215,Fen'Harel
216,Female Lavellan (Dragon Age)
217,Fenris (Dragon Age)
218,Hawke (Dragon Age)
219,Karl Thekla
220,Nathaniel Howe
221,Isabela (Dragon Age)
222,Sebastian Vael
223,Merrill (Dragon Age)
224,"James ""Bucky"" Barnes"
225,Steve Rogers
226,Tony Stark
227,Pepper Potts
228,Clint Barton
229,Natasha Romanov
230,Peggy Carter
231,Loki
232,Peter Parker
233,Stephen Strange
234,Sam Wilson
235,Phil Coulson
236,Jane Foster
237,Thor
238,Wade Wilson
239,Michelle Jones
240,Thor (Marvel)
241,Loki (Marvel)
242,Mobius M. Mobius
243,Bruce Banner
244,Clark Kent
245,Bruce Wayne
246,Selina Kyle
247,Joker (DCU)
248,Dick Grayson
249,Jason Todd
250,Wally West
251,Tim Drake
252,Roy Harper
253,Kon-El | Conner Kent
254,Kara Danvers
255,Lena Luthor
256,Alex Danvers
257,Maggie Sawyer
258,Cat Grant
259,Mon-El
260,Kelly Olsen
261,"Samantha ""Sam"" Arias"
262,Jonathan Kent
263,Lex Luthor
264,Lois Lane
265,Diana (Wonder Woman)
266,Barry Allen
267,Iris West
268,Leonard Snart
269,Oliver Queen
270,Felicity Smoak
271,Hal Jordan (Green Lantern)
272,Caitlin Snow
273,Cisco Ramon
274,Eddie Thawne
275,Lisa Snart
276,Astra
277,Laurel Lance
278,Thea Queen
279,John Diggle
280,Lyla Michaels
281,Tommy Merlyn
282,Sara Lance
283,Nyssa al Ghul
284,Angie Martinelli
285,Daniel Sousa
286,Clay | Dream
287,GeorgeNotFound (Video Blogging RPF)
288,No Romantic Relationship(s)
289,Karl Jacobs
290,Sapnap
291,GeorgeNotFound
292,Sapnap (Video Blogging RPF)
293,Alexis | Quackity
294,Dan Howell
295,Phil Lester
296,Chris Kendall
297,PJ Liguori
298,Original Male Character(s)
299,Mark Fischbach
300,Sean McLoughlin
301,Marzia Bisognin
302,Felix Kjellberg
303,Jensen Ackles
304,Jared Padalecki
305,Misha Collins
306,Danneel Harris
307,Jeffrey Dean Morgan
308,Genevieve Cortese
309,Vicki Vantoch
310,Castiel
311,Dean Winchester
312,Sam Winchester
313,Original Female Character
314,Original Male Character
315,Original Character(s)
316,Derek Hale
317,Stiles Stilinski
318,Sans (Undertale)
319,Jeon Jungkook
320,Min Yoongi | Suga
321,Park Jimin (BTS)
322,Tom Hiddleston
323,Chris Hemsworth
324,Benedict Cumberbatch
325,Wang Yi Bo
326,Xiao Zhan | Sean
327,Lán Zhàn | Lán Wàngjī
328,Wèi Yīng | Wèi Wúxiàn
329,Cho Seungyeon | Seungyoun
330,Liu Haoran
331,Everyone
332,Liu Haikuan
333,Zhu Zanjin
334,Donald Trump
