Source,Target,Type
1,1,Undirected
1,2,Undirected
1,3,Undirected
1,4,Undirected
1,5,Undirected
1,6,Undirected
1,7,Undirected
1,8,Undirected
1,9,Undirected
1,10,Undirected
3,3,Undirected
3,1,Undirected
3,2,Undirected
3,5,Undirected
3,10,Undirected
3,11,Undirected
3,6,Undirected
3,12,Undirected
3,13,Undirected
3,14,Undirected
15,15,Undirected
15,16,Undirected
15,1,Undirected
15,3,Undirected
15,17,Undirected
15,18,Undirected
15,19,Undirected
15,2,Undirected
15,20,Undirected
15,5,Undirected
5,5,Undirected
5,3,Undirected
5,12,Undirected
5,1,Undirected
5,21,Undirected
5,2,Undirected
5,11,Undirected
5,14,Undirected
5,6,Undirected
5,4,Undirected
16,16,Undirected
16,15,Undirected
16,1,Undirected
16,3,Undirected
16,17,Undirected
16,2,Undirected
16,5,Undirected
16,20,Undirected
16,22,Undirected
16,23,Undirected
18,18,Undirected
18,3,Undirected
18,1,Undirected
18,20,Undirected
18,5,Undirected
18,14,Undirected
18,13,Undirected
18,2,Undirected
18,24,Undirected
18,25,Undirected
19,19,Undirected
19,1,Undirected
19,3,Undirected
19,4,Undirected
19,13,Undirected
19,9,Undirected
19,20,Undirected
19,26,Undirected
19,5,Undirected
19,2,Undirected
24,24,Undirected
24,1,Undirected
24,3,Undirected
24,5,Undirected
24,14,Undirected
24,18,Undirected
24,2,Undirected
24,4,Undirected
24,13,Undirected
24,10,Undirected
14,14,Undirected
14,3,Undirected
14,1,Undirected
14,5,Undirected
14,13,Undirected
14,27,Undirected
14,25,Undirected
14,20,Undirected
14,2,Undirected
14,18,Undirected
2,2,Undirected
2,1,Undirected
2,3,Undirected
2,5,Undirected
2,11,Undirected
2,12,Undirected
2,20,Undirected
2,6,Undirected
2,10,Undirected
2,13,Undirected
4,4,Undirected
4,1,Undirected
4,3,Undirected
4,7,Undirected
4,5,Undirected
4,28,Undirected
4,6,Undirected
4,26,Undirected
4,9,Undirected
4,13,Undirected
29,29,Undirected
29,1,Undirected
29,30,Undirected
29,3,Undirected
29,13,Undirected
29,31,Undirected
29,20,Undirected
29,9,Undirected
29,2,Undirected
29,32,Undirected
13,13,Undirected
13,14,Undirected
13,1,Undirected
13,30,Undirected
13,3,Undirected
13,5,Undirected
13,6,Undirected
13,20,Undirected
13,33,Undirected
13,2,Undirected
34,34,Undirected
34,1,Undirected
34,35,Undirected
34,32,Undirected
34,31,Undirected
34,36,Undirected
34,3,Undirected
34,37,Undirected
34,5,Undirected
34,38,Undirected
10,10,Undirected
10,1,Undirected
10,5,Undirected
10,2,Undirected
10,39,Undirected
10,3,Undirected
10,11,Undirected
10,4,Undirected
10,6,Undirected
10,13,Undirected
6,6,Undirected
6,1,Undirected
6,3,Undirected
6,40,Undirected
6,13,Undirected
6,41,Undirected
6,5,Undirected
6,42,Undirected
6,43,Undirected
6,20,Undirected
30,30,Undirected
30,1,Undirected
30,13,Undirected
30,3,Undirected
30,29,Undirected
30,4,Undirected
30,6,Undirected
