Source,Target,Type
32,1,Undirected
32,2,Undirected
32,3,Undirected
32,4,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,5,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,3,Undirected
32,6,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,7,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,8,Undirected
32,9,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,10,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,11,Undirected
32,12,Undirected
32,13,Undirected
32,14,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,15,Undirected
32,1,Undirected
32,16,Undirected
32,17,Undirected
32,1,Undirected
32,18,Undirected
32,19,Undirected
32,20,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,21,Undirected
32,21,Undirected
32,21,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,22,Undirected
32,23,Undirected
32,22,Undirected
32,23,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,24,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,25,Undirected
32,25,Undirected
32,26,Undirected
32,26,Undirected
32,26,Undirected
32,26,Undirected
32,26,Undirected
32,26,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,27,Undirected
32,28,Undirected
32,29,Undirected
32,30,Undirected
32,31,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,32,Undirected
32,33,Undirected
32,34,Undirected
32,1,Undirected
32,35,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,36,Undirected
32,1,Undirected
32,37,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,38,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,39,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,40,Undirected
32,40,Undirected
32,41,Undirected
32,40,Undirected
32,40,Undirected
32,40,Undirected
32,41,Undirected
32,1,Undirected
32,40,Undirected
32,40,Undirected
32,40,Undirected
32,40,Undirected
32,1,Undirected
32,1,Undirected
32,41,Undirected
32,41,Undirected
32,41,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,42,Undirected
32,42,Undirected
32,42,Undirected
32,42,Undirected
32,42,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,43,Undirected
32,43,Undirected
32,43,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,44,Undirected
32,45,Undirected
32,15,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
32,1,Undirected
